"activity","label"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FAUX","Activities auxiliary to financial intermediation (67)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ORGA","Activities of membership organisation n.e.c. (91)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TAIR","Air transport (62)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ALUM","Aluminium production"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OANP","Animal products nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_BIOF","Biogasification of food waste, incl. land application"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_BIOP","Biogasification of paper, incl. land application"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_BIOS","Biogasification of sewage slugde, incl. land application"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_METC","Casting of metals"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_CATL","Cattle farming"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_CHEM","Chemicals nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_WATR","Collection, purification and distribution of water (41)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COMF","Composting of food waste, incl. land application"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COMW","Composting of paper and wood, incl. land application"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COMP","Computer and related activities (72)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_CONS","Construction (45)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COPP","Copper production"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OCER","Cultivation of cereal grains nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OTCR","Cultivation of crops nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OILS","Cultivation of oil seeds"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PARI","Cultivation of paddy rice"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FIBR","Cultivation of plant-based fibers"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_SUGB","Cultivation of sugar cane, sugar beet"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FVEG","Cultivation of vegetables, fruit, nuts"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_WHEA","Cultivation of wheat"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWD","Distribution and trade of electricity"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_GASD","Distribution of gaseous fuels through mains"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_EDUC","Education (80)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_EXTO","Extra-territorial organizations and bodies"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COIL","Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_GASE","Extraction of natural gas and services related to natural gas extraction, excluding surveying"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OGPL","Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FINT","Financial intermediation, except insurance and pension funding (65)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FISH","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FORE","Forestry, logging and related service activities (02)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_HEAL","Health and social work (85)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_HORE","Hotels and restaurants (55)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_INCF","Incineration of waste: Food"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_INCM","Incineration of waste: Metals and Inert materials"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_INCO","Incineration of waste: Oil/Hazardous waste"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_INCP","Incineration of waste: Paper"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_INCL","Incineration of waste: Plastic"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_INCT","Incineration of waste: Textiles"
