"flowobject","label"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_REFP"," Refined Petroleum"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_39","1,3 Butadiene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ADDC","Additives/Blending Components"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TAIR","Air transport services (62)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_23","Aldrin"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ALUM","Aluminium and aluminium products"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ALUO","Aluminium ores and concentrates"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OANP","Animal products nec"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ANTH","Anthracite"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_17","As"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ASHW","Ash for treatment; Re-processing of ash into clinker"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_AGSL","Aviation Gasoline"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_BKBP","BKB/Peat Briquettes"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_53","BOD"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_STEL","Basic iron and steel and of ferro-alloys and first products thereof"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_38","Benzene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_43","Benzo-[a]-pyrene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_45","Benzo-[b]-fluoranthene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_46","Benzo-[k]-fluoranthene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_BEVR","Beverages"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_BIOD","Biodiesels"
