"location","label"
"http://rdf.bonsai.uno/location/exiobase3_3_17#AT","AT"
"http://rdf.bonsai.uno/location/exiobase3_3_17#AU","AU"
"http://rdf.bonsai.uno/location/exiobase3_3_17#BE","BE"
"http://rdf.bonsai.uno/location/exiobase3_3_17#BG","BG"
"http://rdf.bonsai.uno/location/exiobase3_3_17#BR","BR"
"http://rdf.bonsai.uno/location/exiobase3_3_17#CA","CA"
"http://rdf.bonsai.uno/location/exiobase3_3_17#CH","CH"
"http://rdf.bonsai.uno/location/exiobase3_3_17#CN","CN"
"http://rdf.bonsai.uno/location/exiobase3_3_17#CY","CY"
"http://rdf.bonsai.uno/location/exiobase3_3_17#CZ","CZ"
"http://rdf.bonsai.uno/location/exiobase3_3_17#DE","DE"
"http://rdf.bonsai.uno/location/exiobase3_3_17#DK","DK"
"http://rdf.bonsai.uno/location/exiobase3_3_17#EE","EE"
"http://rdf.bonsai.uno/location/exiobase3_3_17#ES","ES"
"http://rdf.bonsai.uno/location/exiobase3_3_17#WF","EXIOBASE region RoW Africa"
"http://rdf.bonsai.uno/location/exiobase3_3_17#WL","EXIOBASE region RoW America"
"http://rdf.bonsai.uno/location/exiobase3_3_17#WA","EXIOBASE region RoW Asia and Pacific"
"http://rdf.bonsai.uno/location/exiobase3_3_17#WE","EXIOBASE region RoW Europe"
"http://rdf.bonsai.uno/location/exiobase3_3_17#WM","EXIOBASE region RoW Middle East"
"http://rdf.bonsai.uno/location/exiobase3_3_17#FI","FI"
"http://rdf.bonsai.uno/location/exiobase3_3_17#FR","FR"
"http://rdf.bonsai.uno/location/exiobase3_3_17#GB","GB"
"http://rdf.bonsai.uno/location/exiobase3_3_17#GR","GR"
"http://rdf.bonsai.uno/location/exiobase3_3_17#HR","HR"
"http://rdf.bonsai.uno/location/exiobase3_3_17#HU","HU"
"http://rdf.bonsai.uno/location/exiobase3_3_17#ID","ID"
"http://rdf.bonsai.uno/location/exiobase3_3_17#IE","IE"
"http://rdf.bonsai.uno/location/exiobase3_3_17#IN","IN"
"http://rdf.bonsai.uno/location/exiobase3_3_17#IT","IT"
"http://rdf.bonsai.uno/location/exiobase3_3_17#JP","JP"
"http://rdf.bonsai.uno/location/exiobase3_3_17#KR","KR"
"http://rdf.bonsai.uno/location/exiobase3_3_17#LT","LT"
"http://rdf.bonsai.uno/location/exiobase3_3_17#LU","LU"
"http://rdf.bonsai.uno/location/exiobase3_3_17#LV","LV"
"http://rdf.bonsai.uno/location/exiobase3_3_17#MT","MT"
"http://rdf.bonsai.uno/location/exiobase3_3_17#MX","MX"
"http://rdf.bonsai.uno/location/exiobase3_3_17#NL","NL"
"http://rdf.bonsai.uno/location/exiobase3_3_17#NO","NO"
"http://rdf.bonsai.uno/location/exiobase3_3_17#PL","PL"
"http://rdf.bonsai.uno/location/exiobase3_3_17#PT","PT"
"http://rdf.bonsai.uno/location/exiobase3_3_17#RO","RO"
"http://rdf.bonsai.uno/location/exiobase3_3_17#RU","RU"
"http://rdf.bonsai.uno/location/exiobase3_3_17#SE","SE"
"http://rdf.bonsai.uno/location/exiobase3_3_17#SI","SI"
"http://rdf.bonsai.uno/location/exiobase3_3_17#SK","SK"
"http://rdf.bonsai.uno/location/exiobase3_3_17#TR","TR"
"http://rdf.bonsai.uno/location/exiobase3_3_17#TW","TW"
"http://rdf.bonsai.uno/location/exiobase3_3_17#US","US"
"http://rdf.bonsai.uno/location/exiobase3_3_17#ZA","ZA"
